pessoa,foto
CIRO FERREIRA GOMES,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/882713/foto.jpg
JOSE MARIA EYMAEL,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/914331/foto.jpeg
LUIZ FELIPE CHAVES D'AVILA,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/892517/foto.jpg
JAIR MESSIAS BOLSONARO,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/908966/foto.jpeg
LEONARDO PRICLES VIEIRA ROQUE,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/884623/foto.jpg
LUIZ INCIO LULA DA SILVA,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/893498/foto.jpg
PABLO HENRIQUE COSTA MARAL,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/891445/foto.jpg
ROBERTO JEFFERSON MONTEIRO FRANCISCO,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/916134/foto.jpeg
SIMONE NASSAR TEBET,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/899992/foto.jpg
SOFIA PADUA MANZANO,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/890829/foto.jpeg
SORAYA VIEIRA THRONICKE,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/913738/foto.jpg
VERA LUCIA PEREIRA DA SILVA SALGADO,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/898012/foto.jpg
ANA PAULA ANDRADE MATOS MOREIRA,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/905790/foto.jpeg
ANTONIO ALVES DA SILVA JUNIOR,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/890828/foto.jpeg
WALTER SOUZA BRAGA NETTO,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/908900/foto.jpeg
FATIMA APARECIDA SANTOS DE SOUZA,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/891665/foto.jpg
GERALDO JOS RODRIGUES ALCKMIN FILHO,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/893499/foto.jpg
MARA CRISTINA GABRILLI,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/900303/foto.jpg
MARCOS CINTRA CAVALCANTI DE ALBUQUERQUE,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/913669/foto.jpg
KELMON LUIS DA SILVA SOUZA,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/916163/foto.jpeg
JOAO BARBOSA BRAVO,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/914506/foto.jpeg
RAQUEL AGUIAR SANTOS,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/898073/foto.jpeg
SAMARA MARTINS DA SILVA,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/884640/foto.jpg
TIAGO LIMA MITRAUD DE CASTRO LEITE,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/892574/foto.jpg
